Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
RegisterUser,10,286,152,1247,320.73,0.000%,.09244,0.19,0.03,2132.8
TOTAL,10,286,152,1247,320.73,0.000%,.09244,0.19,0.03,2132.8
